Part Number,Category,Bin Model,Rings,Weight (lbs),Weight (kg),Capacity (bu),Capacity (tons),Diameter (ft),Diameter (m),Eave Height (ft),Eave Height (m),Peak Height (ft),Peak Height (m),Roof Angle (degrees),Corrugation,Bottom
232106,Commercial,Model 3614 Wide-Corr Centurion Bin,14,23300,10550,46770,1269,36,10.9728,51.5,15.7,61.1,18.62,28.02303046,Wide,Flat
232107,Commercial,Model 3615 Wide-Corr Centurion Bin,15,26000,11800,49910,1354,36,10.9728,55.2,16.82,64.7,19.74,28.02303046,Wide,Flat
232108,Commercial,Model 3616 Wide-Corr Centurion Bin,16,29200,13250,53060,1439,36,10.9728,58.8,17.93,68.4,20.85,28.02303046,Wide,Flat
232109,Commercial,Model 3617 Wide-Corr Centurion Bin,17,33100,15000,56210,1525,36,10.9728,62.5,19.05,72.1,21.97,28.02303046,Wide,Flat
232110,Commercial,Model 3618 Wide-Corr Centurion Bin,18,38500,17450,59370,1610,36,10.9728,66.2,20.17,75.8,23.09,28.02303046,Wide,Flat
232111,Commercial,Model 3619 Wide-Corr Centurion Bin,19,43400,19650,62520,1696,36,10.9728,69.9,21.29,79.4,24.21,28.02303046,Wide,Flat
232112,Commercial,Model 3620 Wide-Corr Centurion Bin,20,46700,21200,65670,1781,36,10.9728,73.5,22.41,83.1,25.33,28.02303046,Wide,Flat
232113,Commercial,Model 3621 Wide-Corr Centurion Bin,21,51100,23150,68810,1866,36,10.9728,77.2,23.53,86.8,26.45,28.02303046,Wide,Flat
232114,Commercial,Model 3622 Wide-Corr Centurion Bin,22,54100,24550,71960,1952,36,10.9728,80.9,24.65,90.4,27.57,28.02303046,Wide,Flat
232115,Commercial,Model 3623 Wide-Corr Centurion Bin,23,58600,26600,75110,2037,36,10.9728,84.5,25.76,94.1,28.68,28.02303046,Wide,Flat
232125,Commercial,Model 4213 Wide-Corr Centurion Bin,13,28100,12750,59960,1626,42,12.8016,47.8,14.58,59.1,18.03,28.32445102,Wide,Flat
232126,Commercial,Model 4214 Wide-Corr Centurion Bin,14,30500,13800,64240,1742,42,12.8016,51.5,15.7,62.8,19.14,28.25504322,Wide,Flat
232127,Commercial,Model 4215 Wide-Corr Centurion Bin,15,33100,15050,68520,1859,42,12.8016,55.2,16.82,66.5,20.26,28.25504322,Wide,Flat
232128,Commercial,Model 4216 Wide-Corr Centurion Bin,16,35500,16100,72810,1975,42,12.8016,58.8,17.93,70.1,21.38,28.32445102,Wide,Flat
232129,Commercial,Model 4217 Wide-Corr Centurion Bin,17,38800,17600,77090,2091,42,12.8016,62.5,19.05,73.8,22.5,28.32445102,Wide,Flat
232130,Commercial,Model 4218 Wide-Corr Centurion Bin,18,45250,20500,81370,2207,42,12.8016,66.2,20.17,77.5,23.61,28.25504322,Wide,Flat
232131,Commercial,Model 4219 Wide-Corr Centurion Bin,19,50200,22750,85680,2324,42,12.8016,69.9,21.29,81.2,24.74,28.32445102,Wide,Flat
232132,Commercial,Model 4220 Wide-Corr Centurion Bin,20,57700,26200,89960,2440,42,12.8016,73.5,22.41,84.8,25.86,28.32445102,Wide,Flat
232133,Commercial,Model 4221 Wide-Corr Centurion Bin,21,65900,29900,94240,2556,42,12.8016,77.2,23.53,88.5,26.97,28.25504322,Wide,Flat
232134,Commercial,Model 4222 Wide-Corr Centurion Bin,22,72100,32700,98530,2672,42,12.8016,80.9,24.65,92.2,28.09,28.25504322,Wide,Flat
232135,Commercial,Model 4223 Wide-Corr Centurion Bin,23,77300,35050,102810,2789,42,12.8016,84.5,25.76,95.8,29.21,28.32445102,Wide,Flat
232145,Commercial,Model 4813 Wide-Corr Centurion Bin,13,35000,15900,79070,2145,48,14.6304,47.8,14.58,60.9,18.55,28.48893174,Wide,Flat
232146,Commercial,Model 4814 Wide-Corr Centurion Bin,14,38100,17250,84670,2296,48,14.6304,51.5,15.7,64.5,19.67,28.48893174,Wide,Flat
232147,Commercial,Model 4815 Wide-Corr Centurion Bin,15,41700,18900,90260,2448,48,14.6304,55.2,16.82,68.2,20.79,28.48893174,Wide,Flat
232148,Commercial,Model 4816 Wide-Corr Centurion Bin,16,45300,20550,95850,2600,48,14.6304,58.8,17.93,71.9,21.9,28.48893174,Wide,Flat
232149,Commercial,Model 4817 Wide-Corr Centurion Bin,17,49200,22300,101450,2752,48,14.6304,62.5,19.05,75.5,23.02,28.48893174,Wide,Flat
232150,Commercial,Model 4818 Wide-Corr Centurion Bin,18,53600,24300,107040,2903,48,14.6304,66.2,20.17,79.2,24.14,28.48893174,Wide,Flat
232151,Commercial,Model 4819 Wide-Corr Centurion Bin,19,58500,26550,112670,3056,48,14.6304,69.9,21.29,82.9,25.26,28.48893174,Wide,Flat
232152,Commercial,Model 4820 Wide-Corr Centurion Bin,20,63900,29000,118260,3208,48,14.6304,73.5,22.41,86.5,26.38,28.48893174,Wide,Flat
232153,Commercial,Model 4821 Wide-Corr Centurion Bin,21,72300,32800,123860,3359,48,14.6304,77.2,23.53,90.2,27.5,28.48893174,Wide,Flat
232154,Commercial,Model 4822 Wide-Corr Centurion Bin,22,82300,37300,129450,3511,48,14.6304,80.9,24.65,93.9,28.62,28.48893174,Wide,Flat
